Country Name,Country Code,Total Population 2017
Afghanistan,AFG,35530081
Albania,ALB,2873457
Algeria,DZA,41318142
American Samoa,ASM,55641
Andorra,AND,76965
Angola,AGO,29784193
Antigua and Barbuda,ATG,102012
Argentina,ARG,44271041
Armenia,ARM,2930450
Aruba,ABW,105264
Australia,AUS,24598933
Austria,AUT,8809212
Azerbaijan,AZE,9862429
"Bahamas, The",BHS,395361
Bahrain,BHR,1492584
Bangladesh,BGD,164669751
Barbados,BRB,285719
Belarus,BLR,9507875
Belgium,BEL,11372068
Belize,BLZ,374681
Benin,BEN,11175692
Bermuda,BMU,65441
Bhutan,BTN,807610
Bolivia,BOL,11051600
Bosnia and Herzegovina,BIH,3507017
Botswana,BWA,2291661
Brazil,BRA,209288278
British Virgin Islands,VGB,31196
Brunei Darussalam,BRN,428697
Bulgaria,BGR,7075991
Burkina Faso,BFA,19193382
Burundi,BDI,10864245
Cabo Verde,CPV,546388
Cambodia,KHM,16005373
Cameroon,CMR,24053727
Canada,CAN,36708083
Cayman Islands,CYM,61559
Central African Republic,CAF,4659080
Chad,TCD,14899994
Channel Islands,CHI,165314
Chile,CHL,18054726
China,CHN,1386395000
Colombia,COL,49065615
Comoros,COM,813912
"Congo, Dem. Rep.",COD,81339988
"Congo, Rep.",COG,5260750
Costa Rica,CRI,4905769
Cote d'Ivoire,CIV,24294750
Croatia,HRV,4125700
Cuba,CUB,11484636
Curacao,CUW,161014
Cyprus,CYP,1179551
Czech Republic,CZE,10591323
Denmark,DNK,5769603
Djibouti,DJI,956985
Dominica,DMA,73925
Dominican Republic,DOM,10766998
Ecuador,ECU,16624858
"Egypt, Arab Rep.",EGY,97553151
El Salvador,SLV,6377853
Equatorial Guinea,GNQ,1267689
Estonia,EST,1315480
Eswatini,SWZ,1367254
Ethiopia,ETH,104957438
Fake Country 1,FC1,3000000
Fake Country 2,FC2,4000000
Faroe Islands,FRO,49290
Fiji,FJI,905502
Finland,FIN,5511303
France,FRA,67118648
French Polynesia,PYF,283007
Gabon,GAB,2025137
"Gambia, The",GMB,2100568
Georgia,GEO,3717100
Germany,DEU,82695000
Ghana,GHA,28833629
Gibraltar,GIB,34571
Greece,GRC,10760421
Greenland,GRL,56171
Grenada,GRD,107825
Guam,GUM,164229
Guatemala,GTM,16913503
Guinea,GIN,12717176
Guinea-Bissau,GNB,1861283
Guyana,GUY,777859
Haiti,HTI,10981229
Honduras,HND,9265067
"Hong Kong SAR, China",HKG,7391700
Hungary,HUN,9781127
Iceland,ISL,341284
India,IND,1339180127
Indonesia,IDN,263991379
"Iran, Islamic Rep.",IRN,81162788
Iraq,IRQ,38274618
Ireland,IRL,4813608
Isle of Man,IMN,84287
Israel,ISR,8712400
Italy,ITA,60551416
Jamaica,JAM,2890299
Japan,JPN,126785797
Jordan,JOR,9702353
Kazakhstan,KAZ,18037646
Kenya,KEN,49699862
Kiribati,KIR,116398
"Korea, Dem. Peopleâ€™s Rep.",PRK,25490965
"Korea, Rep.",KOR,51466201
Kosovo,XKX,1830700
Kuwait,KWT,4136528
Kyrgyz Republic,KGZ,6201500
Lao PDR,LAO,6858160
Latvia,LVA,1940740
Lebanon,LBN,6082357
Lesotho,LSO,2233339
Liberia,LBR,4731906
Libya,LBY,6374616
Liechtenstein,LIE,37922
Lithuania,LTU,2827721
Luxembourg,LUX,599449
"Macao SAR, China",MAC,622567
"Macedonia, FYR",MKD,2083160
Madagascar,MDG,25570895
Malawi,MWI,18622104
Malaysia,MYS,31624264
Maldives,MDV,436330
Mali,MLI,18541980
Malta,MLT,465292
Marshall Islands,MHL,53127
Mauritania,MRT,4420184
Mauritius,MUS,1264613
Mexico,MEX,129163276
"Micronesia, Fed. Sts.",FSM,105544
Moldova,MDA,3549750
Monaco,MCO,38695
Mongolia,MNG,3075647
Montenegro,MNE,622471
Morocco,MAR,35739580
Mozambique,MOZ,29668834
Myanmar,MMR,53370609
Namibia,NAM,2533794
Nauru,NRU,13649
Nepal,NPL,29304998
Netherlands,NLD,17132854
New Caledonia,NCL,280460
New Zealand,NZL,4793900
Nicaragua,NIC,6217581
Niger,NER,21477348
Nigeria,NGA,190886311
Northern Mariana Islands,MNP,55144
Norway,NOR,5282223
Oman,OMN,4636262
Pacific island small states,PSS,2419188
Pakistan,PAK,197015955
Palau,PLW,21729
Panama,PAN,4098587
Papua New Guinea,PNG,8251162
Paraguay,PRY,6811297
Peru,PER,32165485
Philippines,PHL,104918090
Poland,POL,37975841
Portugal,PRT,10293718
Puerto Rico,PRI,3337177
Qatar,QAT,2639211
Romania,ROU,19586539
Russian Federation,RUS,144495044
Rwanda,RWA,12208407
Samoa,WSM,196440
San Marino,SMR,33400
Sao Tome and Principe,STP,204327
Saudi Arabia,SAU,32938213
Senegal,SEN,15850567
Serbia,SRB,7022268
Seychelles,SYC,95843
Sierra Leone,SLE,7557212
Singapore,SGP,5612253
Sint Maarten (Dutch part),SXM,41109
Slovak Republic,SVK,5439892
Slovenia,SVN,2066748
Solomon Islands,SLB,611343
Somalia,SOM,14742523
South Africa,ZAF,56717156
South Sudan,SSD,12575714
Spain,ESP,46572028
Sri Lanka,LKA,21444000
St. Kitts and Nevis,KNA,55345
St. Lucia,LCA,178844
St. Martin (French part),MAF,32125
St. Vincent and the Grenadines,VCT,109897
Sudan,SDN,40533330
Suriname,SUR,563402
Sweden,SWE,10067744
Switzerland,CHE,8466017
Syrian Arab Republic,SYR,18269868
Tajikistan,TJK,8921343
Tanzania,TZA,57310019
Thailand,THA,69037513
Timor-Leste,TLS,1296311
Togo,TGO,7797694
Tonga,TON,108020
Trinidad and Tobago,TTO,1369125
Tunisia,TUN,11532127
Turkey,TUR,80745020
Turkmenistan,TKM,5758075
Turks and Caicos Islands,TCA,35446
Tuvalu,TUV,11192
Uganda,UGA,42862958
Ukraine,UKR,44831159
United Arab Emirates,ARE,9400145
United Kingdom,GBR,66022273
United States,USA,325719178
Uruguay,URY,3456750
Uzbekistan,UZB,32387200
Vanuatu,VUT,276244
"Venezuela, RB",VEN,31977065
Vietnam,VNM,95540800
Virgin Islands (U.S.),VIR,107268
West Bank and Gaza,PSE,4684777
"Yemen, Rep.",YEM,28250420
Zambia,ZMB,17094130
Zimbabwe,ZWE,16529904
